cohort,n,median_old,median_new,top1_old,top1_new,top10_old,top10_new,improved,worse,wilcoxon_p,rank_biserial,p_holm
SOCS1,18,455.5,2.0,0.0,44.44444444444444,0.0,94.44444444444444,18,0,0.00019609335453373022,1.0,0.00019609335453373022
APDS1,38,38.5,1.0,7.894736842105263,78.94736842105263,34.21052631578947,100.0,33,0,5.374799694784892e-07,1.0,1.6124399084354676e-06
NFKB1,24,69.0,4.5,4.166666666666666,20.833333333333336,20.833333333333336,70.83333333333334,20,2,7.461456629806782e-05,0.9644268774703557,0.00014922913259613564
