cohort,n,n_informative,W,p_raw,rank_biserial,gain_pct,delta_mean,delta_lo,delta_hi,hl_delta,hl_lo,hl_hi,n_improved,n_worse,p_holm
SOCS1,28,24,1.0,2.0705605648246455e-05,0.9933333333333333,4.546658509020139,0.027664448408609515,0.020915354167390002,0.034376053154203376,0.02756783413676095,0.019505311471884224,0.035168125755914936,23,1,4.141121129649291e-05
APDS1,38,37,0.0,1.1397432479304981e-07,1.0,5.911555549322814,0.037248284911127874,0.03203038398000209,0.042517922687447585,0.036883682945081764,0.03129904992544191,0.0426793929649783,37,0,3.4192297437914944e-07
NFKB1,24,5,0.0,0.043114446783075355,1.0,1.856102077137791,0.009591195595554916,0.0012812814952213776,0.0223790593450626,0.0,0.0,0.007687688971328266,5,0,0.043114446783075355
